institute name,location,type,entrance exams,rank,fees(approx),
Bansilal Ramnath Agarwal Charitable Trust`s Vishwakarama Institute of Technology,Maharashtra,Private,MHT CET/JEE Main,,8.24L,,
Bapurao Deshmukh College of Engineering,"Wardha, Maharashtra",Private,MHT CET,,3.17 L,,
Bengal Institute of Technology,"Kolkata, West Bengal",Private,WBJEE / JEE Main,,3.56 - 3.97 L ,,
Bharath Institute of Higher Education and Research (BIHER),"Chennai, Tamil Nadu",Private (Deemed),BEEE / JEE Main,,6.06L-15.6L,,
Bharathiar University � School of Engineering,"Coimbatore, Tamil Nadu",Government,TANCET / GATE,,1.28L,,
Bharati Vidyapeeth Deemed University College of Engineering,"Pune, Maharashtra",Private (Deemed),BVP CET / JEE Main,,2.9 - 7 L,,
Bharati Vidyapeeth's College of Engineering,Delhi,Private,JEE / IPUCET,,3.32 - 5.67 L ,,
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,Maharashtra,Private,MHT CET / JEE Main ,,4.57-6.09L,,
Biju Patnaik University of Technology (BPUT),"Rourkela, Odisha",State Public University,OJEE / JEE Main,,2.35L,,
BIT Mesra,Jharkhand,Private (Deemed),JEE Main,48,6.3 L,,
BIT Sindri,Jharkhand,Government,JCECE/ JEE Main,,"88,000",,
BITS Pilani (Birla Institute of Technology and Science),"Pilani, Goa, Hyderabad",Private (Deemed),BITSAT/ JEE Main,20,19.94 - 20.76 L,,
BMS College of Engineering,"Bengaluru, Karnataka",Private (Autonomous),COMEDK / KCET,,64 K -16 L,,
BMS Institute of Technology and Management,"Bengaluru, Karnataka",Private,COMEDK / KCET,,3.9 L - 10.5 L,,
Brahmaputra Institute of Technology,"Guwahati, Assam",Private,Assam CEE,,2.45 L,,
Budge Budge Institute of Technology,"Kolkata, West Bengal",Private,WBJEE / JEE Main,,3.82 L,,
C M R Institute of Technology,Karnataka,Private,JEE Main /COMEDK /KCET,,3.9 - 7.5 L,,
C V Raman Global University,"Bhubaneswar, Odisha",Private (Deemed),JEE Main / OJEE,96,3.9 - 12L ,,
Central Institute of Technology (CIT),"Kokrajhar, Assam",Govt (under MHRD),CITEE / JEE Main,,1.77 - 1.81 L,,
Central University of Rajasthan � School of Engineering,"Ajmer, Rajasthan",Central Govt.,CUET,,6.13 L ,,
Centurion University of Technology and Management,Odisha,Private,CUEE / JEE Main,,5.67 - 6 L,,
Chaitanya Bharathi Institute of Technology (CBIT),"Hyderabad, Telangana",Private,TS EAMCET,,1.5 - 5.6 L,,
Chandigarh Engineering College Jhanjeri,Punjab,Private,JEE Main,,4.92- 6.58 L,,
"Chandigarh Engineering College-CGC, Landran, Mohali",Punjab,Private,JEE Main,,3.66- 11.18 L,,
Chandigarh University - UIE (University Institute of Engineering),"Mohali, Punjab",Private,CUCET / JEE Main,32,7.65- 14.05 L,,
Chennai Institute of Technology,"Chennai, Tamil Nadu",Private,TNEA,,2- 5.70 L,,
Chitkara University,Punjab,Private,JEE Main,94,9.4 L,,
Christ University � School of Engineering,"Bengaluru, Karnataka",Private (Deemed),CUET / JEE Main / Christ Entrance,93,6.84- 10.24 L,,
CMR College of Engineering & Technology,Telangana,Private,TS EAMCET,,2.85- 7.8 L,,
CMR Engineering College,Telangana,Private,TS EAMCET/ KCET/ COMEDK UGET/ CMRUAT,,4- 6 L,,
CMR Institute of Technology,Telangana,Private,TS EAMCET ,,2.25- 4.6 L,,
CMR Institute of Technology,"Bengaluru, Karnataka",Private,COMEDK / KCET,,3.9- 7.5 L,,
Cochin University of Science and Technology,Kerala,Government,CUSAT CAT,,3.61 L,,
Coimbatore Institute of Technology (CIT),"Coimbatore, Tamil Nadu",Government Aided,TNEA/ JEE Main,,1.3- 3.4 L,,
"College of Engineering & Technology, Bhubaneswar",Odisha,Private,JEE Main /OJEE,,2.92- 3.59 L,,
"College of Engineering, Guindy (CEG), Anna University","Chennai, Tamil Nadu",Government,TNEA (Merit Based),,3.37- 4.89 L,,
"College of Engineering, Pune (COEP Technological University)","Pune, Maharashtra",Government,JEE Main/ MHTCET,,5.49 L,,
"College of Engineering, Trivandrum (CET)","Thiruvananthapuram, Kerala",Government,KEAM,,85.6K- 1.71 L,,
"College of Technology, Pantnagar",Uttarakhand,Government,JEE Main,,1.3- 2.4 L,,
CVR College of Engineering,Telangana,Private,TS EAMCET /JEE Main,,4.5- 6 L,,
Dayalbagh Educational Institute,Uttar Pradesh,Private (Deemed),JEE Main,,11.7- 35 K,,
Dayananda Sagar College of Engineering (DSCE),"Bengaluru, Karnataka",Private,COMEDK / KCET,,5.7- 12.32 L,,
Defence Institute of Advanced Technology,"Pune, Maharashtra",Private (Deemed),JEE Main,,88K- 3.38 L,,
Dehradun Institute of Technology (DIT University),"Dehradun, Uttarakhand",Private,JEE Main / CUET / SAT ,63,5.44- 16.02 L,,
Delhi Technological University (DTU),Delhi,Government (State University),JEE Main / DTU Entrance Test,27,5.33- 7.4?L,,
Dhanalakshmi College of Engineering,"Chennai, Tamil Nadu",Private,TNEA,,2.2- 5 L,,
Dhirubhai Ambani Institute of Information and Communication Technology (DAIICT),"Gandhinagar, Gujarat",Private,GUJCET / JEE Main,,12.45 L,,
Don Bosco College of Engineering,Goa,Private,GCET / JEE Main,,5.14 L,,
Don Bosco Institute of Technology (DBIT),"Bengaluru, Karnataka",Private,MHT CET,,3.86- 10.46 L,,
Dr. B. R. Ambedkar National Institute of Technology (NIT Jalandhar),Punjab,NIT (Autonomous),JEE Main,58,6.56 L,,
"Dr. D.Y. Patil Institute of Technology, Pimpri","Pune, Maharashtra",Private,MHT CET / JEE Main,,3.6- 10.73 L,,
Dr. Lankapalli Bullayya College of Engineering,"Visakhapatnam, Andhra Pradesh",Private,AP EAMCET,,1.8 -2 L,,
Dr. M.G.R. Educational and Research Institute,"Chennai, Tamil Nadu",Private (Deemed),JEE Main / CUET / Own Exam,,2- 3.2 L,,
Dronacharya College of Engineering,"Gurugram, Haryana",Private,JEE Main,,6.06 L,,
E.G.S. Pillay Engineering College (Autonomous),"Nagapattinam, Tamil Nadu",Private,TNEA,,5.34- 8.64 L,,
East Point College of Engineering and Technology,"Bengaluru, Karnataka",Private,COMEDK / KCET,,3.86-14.27 L,,
Easwari Engineering College,"Chennai, Tamil Nadu",Private (SRM Group),TNEA,,2.2 L,,
Einstein College of Engineering,"Tirunelveli, Tamil Nadu",Private,TNEA,,2 L,,
Ellenki College of Engineering and Technology,"Hyderabad, Telangana",Private,TS EAMCET,,4 L,,
Eluru College of Engineering and Technology,"Eluru, Andhra Pradesh",Private,AP EAMCET,,1.72 L,,
Erode Sengunthar Engineering College,"Erode, Tamil Nadu",Private,TNEA,,2- 2.5 L,,
Eswar College of Engineering,"Hyderabad, Telangana",Private,TS EAMCET,,1.2- 2 L,,
Excel Engineering College,"Namakkal, Tamil Nadu",Private,TNEA,,2- 2.5 L,,
Fakir Mohan University � School of Engineering & Technology,"Balasore, Odisha",Government (Public University),OJEE / JEE Main,,12.22 K - 1.98 L,,
Feroze Gandhi Institute of Engineering and Technology (FGIET),"Raebareli, Uttar Pradesh",Government (AKTU),JEE Main / UPCET,,3.07 L,,
Finolex Academy of Management and Technology (FAMT),"Ratnagiri, Maharashtra",Private,MHT CET,,3.4 L,,
FISAT - Federal Institute of Science and Technology,"Ernakulam, Kerala",Private (Christian Minority),KEAM / JEE Main,,5.28 L,,
Francis Xavier Engineering College,"Tirunelveli, Tamil Nadu",Private (Autonomous),TNEA (via 12th marks),,3.5- 8 L,,
Future Institute of Engineering & Management,"Kolkata, West Bengal",Private,WBJEE / JEE Main,,3.61- 5.11 L,,
G H Raisoni College of Engineering (GHRCE),"Nagpur, Maharashtra",Private (Autonomous),MHT CET / JEE Main,,5.34 L,,
G. L. A. University,Uttar Pradesh,Private,GLAET,,5.58- 9.9 L,,
G.L.Bajaj Institute of Technology and Management,Uttar Pradesh,Private,JEE Main / UPCET,,2- 6.25 L,,
Galgotias College of Engineering and Technology,"Greater Noida, Uttar Pradesh",Private,JEE Main / CUET,,2.45- 8.5 L,,
Gandhi Engieering College (GEC),Odisha,Private,JEE Main/ OJEE,,4 L,,
"Gandhi Institute for Technological Advancement (GITA), Bhubaneswar",Odisha,Private,JEE Main/ OJEE,,2.34- 3.6 L,,
Gandhi Institute of Engineering and Technology (GIET University),"Gunupur, Odisha",Private,JEE Main/ OJEE,,2.34- 3.6 L,,
Gandhi Institute of Technology and Management(GITAM ),Andhra Pradesh,Private (Deemed),JEE Main/ AP EAMCET/ TS EAMCET/ GAT,,10.23- 16.47 L,,
Geethanjali College of Engineering and Technology,"Hyderabad, Telangana",Private,TS EAMCET,,1.05- 4.8 L,,
Gitam University (GITAM ), Bengaluru,Private (Deemed),GAT / JEE Main,,12.2- 16.47 L,,
Gitam University (GITAM ), Hyderabad,Private (Deemed),GAT / JEE Main,,12.2- 16.47 L,,
GMR Institute of Technology,"Rajam, Andhra Pradesh",Private,AP EAMCET,,2.64- 3.11 L,,
Godavari Institute of Engineering & Technology,Andhra Pradesh,Private,AP EAMCET,,2.3- 8.8 L,,
Gokaraju Rangaraju Institute of Engineering and Technology (GRIET),"Hyderabad, Telangana",Private (Autonomous),TS EAMCET,,5.13- 5.45 L,,
"Government College of Engineering, Amravati (GCOEA)",Maharashtra,Government,MHT CET,,2.44- 3.41 L,,
"Government College of Engineering, Aurangabad (GECA)",Maharashtra,Government,MHT CET,,2.5- 2.57 L,,
"Government College of Engineering, Salem (GCE-Salem)",Tamil Nadu,Government,TNEA (Merit-based),,3.48 L,,
"Government College of Technology (GCT), Coimbatore",Tamil Nadu,Government,TNEA,,31K - 2 L,,
"Government Engineering College, Thrissur",Kerala,Government,KEAM,,34.6K,,
Graphic Era University � Faculty of Engineering,"Dehradun, Uttarakhand",Deemed University,JEE Main / CUET,52,10.4- 14.8 L,,
Gulzar Group of Institutes � School of Engineering,"Ludhiana, Punjab",Private,PTU / JEE Main,,4- 6.6 L,,
Guru Gobind Singh Indraprastha University (GGSIPU),Delhi,Government,JEE Main,89,8.5- 9.46 L,,
GVP College of Engineering (Gayatri Vidya Parishad),"Visakhapatnam, AP",Private,AP EAMCET,,3.1- 4.2 L,,
Haldia Institute of Technology (HIT),"Haldia, West Bengal",Private (Autonomous),WBJEE / JEE Main,,6.08 L,,
Harcourt Butler Technical University (HBTU),"Kanpur, Uttar Pradesh",Government,JEE Main,,3- 4.74 L,,
Himalayan Institute of Technology,"Dehradun, Uttarakhand",Private,JEE Main / Direct Admission,,8- 9.76 L,,
Hindustan College of Science and Technology (HCST),"Mathura, Uttar Pradesh",Private,JEE Main / UPCET,,1.8- 2.5 L,,
Hindustan Institute of Technology and Science (HITS),"Chennai, Tamil Nadu",Deemed,HITSEEE / JEE Main,,4.8- 13 L,,
Hirasugar Institute of Technology,"Nidasoshi, Karnataka",Private,KCET / COMEDK,,1.5- 3.9 L,,
Hi-Tech Institute of Technology,"Aurangabad, Maharashtra",Private,MHT CET,,2.45- 3.52 L,,
HKBK College of Engineering,"Bengaluru, Karnataka",Private,COMEDK / KCET,,4.17 L,,
Holy Mary Institute of Technology and Science,"Hyderabad, Telangana",Private,TS EAMCET,,2.7 L,,
"IES College of Technology, Bhopal",Madhya Pradesh,Private,JEE Main / MPPET,,2.2- 4.8 L,,
"Indian Institute of Engineering Science and Technology (IIEST), Shibpur",West Bengal,Central Govt.,JEE Advanced,49,7.2 L,,
Indian Institute of Information Technology Allahabad,Uttar Pradesh,Public- private partnership,JEE Main,,6- 8.5L,,
Indian Institute of Information Technology Guwahati,Assam,Public- private partnership,JEE Main,,12.33- 13.43 L,,
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Tamil Nadu,Government,JEE Main,,10.59- 13.22 L,,
Indian Institute of Petroleum & Energy,Andhra Pradesh,Government,JEE Advanced,,6- 6.5 L,,
Indian Institute of Space Science and Technology (IIST),Kerala,Deemed,JEE Main/ JEE Advanced,51,2.5- 6.3 L,,
Indian Institute of Technology (IIT) � BHU Varanasi ,Uttar Pradesh,Central Govt.,JEE Advanced,10,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Bhilai,Raipur,Central Govt.,JEE Advanced,73,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Bombay,Maharashtra,Central Govt. (Autonomous),JEE Advanced,3,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Delhi,Delhi,Central Govt. (Autonomous),JEE Advanced,2,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Gandhinagar,Gujarat,Central Govt.,JEE Advanced,18,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Guwahati,Assam,Central Govt. (Autonomous),JEE Advanced,7,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Hyderabad,Telangana,Central Govt. (Autonomous),JEE Advanced,8,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Indore,Madhya Pradesh,Central Govt. (Autonomous),JEE Advanced,16,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Jammu ,Jammu and Kashmir,Central Govt.,JEE Advanced,62,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Jodhpur,Rajasthan,Central Govt.,JEE Advanced,28,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Kanpur,Uttar Pradesh,Central Govt. (Autonomous),JEE Advanced,4,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Kharagpur,West Bengal,Central Govt. (Autonomous),JEE Advanced,5,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Madras,Tamil Nadu,Central Govt. (Autonomous),JEE Advanced,1,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Mandi,Himachal Pradesh,Central Govt.,JEE Advanced,31,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Palakkad,Kerala,Central Govt.,JEE Advanced,64,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Patna,Bihar,Central Govt.,JEE Advanced,34,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Roorkee,Uttarakhand,Central Govt. ,JEE Advanced,6,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Ropar,Punjab,Central Govt.,JEE Advanced,22,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT) Tirupati,Andhra Pradesh,Central Govt. ,JEE Advanced,61,8- 10 L(IIT approx. range),,
Indian Institute of Technology (IIT)Bhubaneshwar,Odisha,Central Govt.,JEE Advanced,54,8- 10 L(IIT approx. range),,
Indian Institute of Technology Dharwad,Karnataka,Central Govt.,JEE Advanced,,8- 10 L(IIT approx. range),,
Indian Institute of Technology IIT (ISM) Dhanbad,Jharkhand,Central Govt.,JEE Advanced,15,8- 10 L(IIT approx. range),,
Indian Maritime University � School of Engineering,"Chennai,Kolkata, Mumbai & Others",Central Govt.,IMU-CET,,2.9-18.6 L,,
Indira Gandhi Delhi Technical University for Women,Delhi,Government,JEE Main,,5.24- 8.59 L,,
Indira Gandhi Institute of Technology (IGIT),Odisha / Delhi,Govt.,JEE Main,,,,
Indraprastha Institute of Information Technology (IIIT-Delhi),Delhi,State Govt.,JEE Main,85,,,
Institute of Aeronautical Engineering,Telangana,,,,,,
Institute of Chemical Technology,Maharashtra,,,41,,,
Institute of Engineering & Management,West Bengal,,,,,,
Institute of Infrastructure Technology Research and Management (IITRAM),Gujarat,,,,,,
Integral University � Faculty of Engineering,"Lucknow, Uttar Pradesh",Private (Deemed),JEE / Own Exam,,,,
International Institute of Information Technology (IIIT) Allahabad,Uttar Pradesh,,,,,,
International Institute of Information Technology (IIIT) Bangalore,Karnataka,Deemed,JEE Main,74,,,
International Institute of Information Technology (IIIT) Hyderabad,"Hyderabad, Telangana",Deemed,UGEE / JEE Main,47,,,
International Institute of Information Technology(IIIT)  Bhubaneswar,Odisha,,,,,,
"J. C. Bose University of Science and Technology, YMCA",Haryana,,,,,,
Jadavpur University � Faculty of Engineering and Technology,"Kolkata, West Bengal",Government,JEE Main / WBJEE,12,,,
Jain University � Faculty of Engineering and Technology,"Bengaluru, Karnataka",Private (Deemed),JET / JEE,95,,,
Jaipur Engineering College and Research Centre (JECRC),"Jaipur, Rajasthan",Private,REAP / JEE,,,,
Jamia Hamdard � School of Engineering Sciences and Technology,New Delhi,Deemed University,JEE Main,,,,
Jamia Millia Islamia � Faculty of Engineering,New Delhi,Central University,JEE Main,24,?5�6?L (est.),,
Jawaharlal Nehru Technological University (JNTU Hyderabad),Telangana,State Govt. University,TS EAMCET,,,,
Jawaharlal Nehru Technological University (JNTU Kakinada/Anantapur),Andhra Pradesh,State Govt. University,AP EAMCET,,,,
Jaypee Institute of Information Technology (JIIT),"Noida, Uttar Pradesh",Private (Deemed),JEE Main,,,,
Jaypee University of Information Technology,Himachal Pradesh,,,,,,
JIS College of Engineering,West Bengal,,,,,,
JNTUA College of Engineering,"Anantapur, Andhra Pradesh",Government (Autonomous),AP EAMCET,,,,
JSPM's Rajarshi Shahu College of Engineering,Maharashtra,,,,,,
JSS Academy of Technical Education (JSSATE),"Noida, Uttar Pradesh",Private,JEE / CUET,,,,
JSS Science and Technology University (SJCE Mysuru),Karnataka,Private (Autonomous),COMEDK / KCET,,,,
Jyothi Engineering College,"Thrissur, Kerala",Private,KEAM,,,,
K L University (Koneru Lakshmaiah Education Foundation),"Vijayawada, Andhra Pradesh",Deemed,KLEEE / JEE / AP EAMCET,35,,,
K. Ramakrishnan College of Engineering,Tamil Nadu,,,,,,
K.J. Somaiya College of Engineering,"Mumbai, Maharashtra",Autonomous,MHT CET / JEE Main,,,,
K.S. Institute of Technology (KSIT),"Bengaluru, Karnataka",Private,KCET / COMEDK,,,,
K.S. Rangasamy College of Technology,Tamil Nadu,,,,,,
Kakatiya Institute of Technology & Science (KITS),"Warangal, Telangana",Private (Autonomous),TS EAMCET,,,,
Kalaignar Karunanidhi Institute of Technology,Tamil Nadu,,,,,,
Kalasalingam Academy of Research and Education,Tamil Nadu,Deemed,JEE / Kalasalingam Entrance,36,,,
Kalinga Institute of Industrial Technology (KIIT),"Bhubaneswar, Odisha",Deemed (Private),KIITEE / JEE Main,37,,,
Karpagam College of Engineering,"Coimbatore, Tamil Nadu",Private,TNEA,,,,
Karunya Institute of Technology and Sciences,"Coimbatore, Tamil Nadu",Deemed,JEE / Karunya Entrance,,,,
KCG College of Technology,"Chennai, Tamil Nadu",Private,TNEA,,,,
KIET Group of Institutions: KIET Group of Pharmacy,Uttar Pradesh,,,,,,
Kings College of Engineering,"Thanjavur, Tamil Nadu",Private,TNEA,,,,
KITS Ramtek (Kavikulguru Institute of Technology),Maharashtra,Private,MHT CET,,,,
KLE Technological University (formerly BVB College of Engg),"Hubli, Karnataka",Deemed / Private,KCET / COMEDK,,,,
Kongu Engineering College,"Erode, Tamil Nadu",Private (Autonomous),TNEA,,,,
KPR Institute of Engineering and Technology,Tamil Nadu,,,,,,
KSR College of Technology,"Tiruchengode, Tamil Nadu",Private,TNEA,,,,
Kumaraguru College of Technology (KCT),"Coimbatore, Tamil Nadu",Private (Autonomous),TNEA,,,,
Kurukshetra University,Haryana,,,,,,
Lakireddy Bali Reddy College of Engineering (LBRCE),Andhra Pradesh,,,,,,
Lakshmi Narain College of Technology (LNCT),"Bhopal, Madhya Pradesh",Private (Autonomous),JEE Main,,,,
Lal Bahadur Shastri Institute of Technology for Women,"Trivandrum, Kerala",Government (Women-only),KEAM,,,,
Laxmi Devi Institute of Engineering and Technology,"Alwar, Rajasthan",Private,REAP / JEE,,,,
Laxmi Institute of Technology,"Valsad, Gujarat",Private,GUJCET / JEE Main,,,,
LBS Institute of Technology for Women (LBSITW),Kerala,Government,KEAM,,,,
Lendi Institute of Engineering and Technology,"Vizianagaram, Andhra Pradesh",Private,AP EAMCET,,,,
Lingaraj Appa Engineering College,"Bidar, Karnataka",Private,KCET,,,,
Lingaya's Vidyapeeth (formerly Lingaya's University),"Faridabad, Haryana",Deemed,JEE / CUET,,,,
Lord's Institute of Engineering and Technology,"Hyderabad, Telangana",Private,TS EAMCET,,,,
Lovely Professional University (LPU),"Phagwara, Punjab",Private (Deemed),LPUNEST / JEE Main,50,,,
Loyola-ICAM College of Engineering and Technology (LICET),"Chennai, Tamil Nadu",Private (Jesuit),TNEA,,,,
M.Kumarasamy College of Engineering,"Karur, Tamil Nadu",Private,TNEA,,,,
Madan Mohan Malaviya Institute of Technology,Gorakhpur,,,84,,,
Madanapalle Institute of Technology & Science,Andhra Pradesh,,,,,,
Madras Institute of Technology (MIT - Anna University),"Chennai, Tamil Nadu",Govt.,TNEA (Merit-based),,,,
Maharaja Agrasen Institute of Technology (MAIT),Delhi,Private (Affiliated to GGSIPU),JEE Main,,,,
Maharaja Sayajirao University (Faculty of Technology & Engg.),"Vadodara, Gujarat",Government,GUJCET / JEE Main,,,,
Maharaja Surajmal Institute of Technology,Delhi,,,,,,
Maharashtra Institute of Technology,Maharashtra,,,,,,
Maharishi Markandeshwar (Deemed to be University),Haryana,,,,,,
"Maharshi Dayanand University, Rohtak",Haryana,,,,,,
Maharshi Karve Stree Shikshan Samstha's Cummins College of Engineering for Women,Maharashtra,,,,,,
Mahatma Gandhi Institute of Technology (MGIT),"Hyderabad, Telangana",Private,TS EAMCET,,,,
Mahindra University,Telangana,,,,,,
Malaviya National Institute of Technology (MNIT),"Jaipur, Rajasthan",NIT (Govt.),JEE Main,43,,,
Malla Reddy College of Engineering & Technology,"Hyderabad, Telangana",Private,TS EAMCET,,,,
Manav Rachna International Institute of Research and Studies,Haryana,,,,,,
Manipal Institute of Technology (MIT),"Manipal, Karnataka",Private (Deemed),MET / JEE Main,56,,,
Manipal University Jaipur,Rajasthan,,,64,,,
Maulana Abul Kalam Azad University of Technology,West Bengal,,,,,,
Maulana Azad National Institute of Technology (MANIT),"Bhopal, Madhya Pradesh",NIT (Govt.),JEE Main,72,,,
Maulana Azad National Urdu University,Telangana,,,,,,
Meerut Institute of Engineering and Technology (MIET),"Meerut, Uttar Pradesh",Private,JEE / UPCET,,,,
Mepco Schlenk Engineering College,"Sivakasi, Tamil Nadu",Private (Autonomous),TNEA,,,,
MIT World Peace University (MIT-WPU),"Pune, Maharashtra",Private (Deemed),JEE / MHT CET,,,,
MLR Institute of Technology,Telangana,,,,,,
MNIT Jaipur,Rajasthan,,,,,,
Motilal Nehru National Institute of Technology (MNNIT),"Prayagraj, Uttar Pradesh",NIT (Govt.),JEE Main,60,,,
MS Ramaiah Institute of Technology,Karnataka,,,75,,,
Muffakham Jah College of Engineering and Technology,"Hyderabad, Telangana",Private (Minority),TS EAMCET,,,,
Nagpur Institute of Technology (NIT),"Nagpur, Maharashtra",Private,MHT CET,,,,
Nalla Malla Reddy Engineering College,"Hyderabad, Telangana",Private,TS EAMCET,,,,
Narasaraopeta Engineering College,"Guntur, Andhra Pradesh",Private,AP EAMCET,,,,
Narula Institute of Technology,West Bengal,,,,,,
National Engineering College (NEC),"Kovilpatti, Tamil Nadu",Private (Autonomous),TNEA,,,,
"National Institute of Advanced Manufacturing Technology, Ranchi",Jharkhand,,,,,,
"National Institute of Food Technology, Enterprenurship and Management",Haryana,,,,,,
"National Institute of Food Technology, Entrepreneurship and Management",Tamil Nadu,,,,,,
National Institute of Technical Teachers Training & Research,Tamil Nadu,,,,,,
National Institute of Technology  (NIT) Goa,Goa,,,,,,
National Institute of Technology (NIT) Agartala ,Tripura ,,,82,,,
National Institute of Technology (NIT) Arunachal Pradesh,Arunachal Pradesh,,,,,,
National Institute of Technology (NIT) Calicut,Kerala,Central Govt. (NIT),JEE Main,25,,,
National Institute of Technology (NIT) Delhi,Delhi,,,45,,,
National Institute of Technology (NIT) Durgapur,West Bengal,,,44,,,
National Institute of Technology (NIT) Hamirpur,Himachal Pradesh,,,,,,
National Institute of Technology (NIT) Jamshedpur,Jharkhand,,,,,,
National Institute of Technology (NIT) Kurukshetra,Haryana,Central Govt. (NIT),JEE Main,81,,,
National Institute of Technology (NIT) Manipur,Manipur,,,,,,
National Institute of Technology (NIT) Meghalaya,Meghalaya,Central Govt. (NIT),JEE Main,68,,,
National Institute of Technology (NIT) Mizoram,Mizoram,,,,,,
National Institute of Technology (NIT) Nagaland,Nagaland,,,,,,
National Institute of Technology (NIT) Nagpur,Maharashtra,,,,,,
National Institute of Technology (NIT) Patna ,Bihar,Central Govt. (NIT),JEE Main,55,,,
National Institute of Technology (NIT) Puducherry,Pondicherry,Central Govt. (NIT),JEE Main,97,,,
National Institute of Technology (NIT) Raipur,Chhattisgarh,Central Govt. (NIT),JEE Main,71,,,
